Species,State
Solanum_fallax,0
Solanum_calidum,0
Solanum_oxyphyllum,0
Solanum_tobagense,0
Solanum_diversifolium,0
Solanum_pendulum,0
Solanum_fusiforme,0
Solanum_melissarum,0
Solanum_havanense,0
Solanum_delitescens,0
Solanum_aphyodendron,0
Solanum_ochrophyllum,0
Solanum_argentinum,0
Solanum_rovirosanum,0
Solanum_pseudocapsicum,0
Solanum_arboreum,0
Solanum_spirale,0
Solanum_capsicastrum,0
Solanum_reductum,0
Solanum_stenandrum,0
Solanum_talarense,0
Solanum_agrarium,0
Solanum_polytrichum,0
Solanum_gardneri,0
Solanum_schomburgkii,0
Solanum_tetramerum,0
Solanum_microphyllum,0
Solanum_thomasiifolium,0
Solanum_buddleifolium,0
Solanum_paraibanum,0
Solanum_rupincola,0
Solanum_stagnale,0
Solanum_hexandrum,0
Solanum_robustum,0
Solanum_megalonyx,0
Solanum_jabrense,0
Solanum_reflexiflorum,0
Solanum_decompositiflorum,0
Solanum_decorum,0
Solanum_rhytidoandrum,0
Solanum_accrescens,0
Solanum_absconditum,0
Solanum_paludosum,0
Solanum_mammosum,0
Solanum_palinacanthum,0
Solanum_platense,0
Solanum_myriacanthum,0
Solanum_aculeatissimum,0
Solanum_viarum,0
Solanum_incarceratum,0
Solanum_acerifolium,0
Solanum_tenuispinum,0
Solanum_atropurpureum,0
Solanum_wacketii,0
Solanum_vaillantii,0
Solanum_capsicoides,0
Solanum_sessiliflorum,0
Solanum_stramoniifolium,0
Solanum_hirsutissimum,0
Solanum_tequilense,0
Solanum_felinum,0
Solanum_lasiocarpum,0
Solanum_repandum,0
Solanum_candidum,0
Solanum_quitoense,0
Solanum_vestissimum,0
Solanum_pectinatum,0
Solanum_hirtum,0
Solanum_pseudolulo,0
Solanum_hyporhodium,0
Solanum_uporo,0
Solanum_polygamum,0
Solanum_sisymbriifolium,0
Solanum_hasslerianum,0
Solanum_citrullifolium,0
Solanum_davisense,0
Solanum_tribulosum,0
Solanum_lumholtzianum,0
Solanum_johnstonii,0
Solanum_rostratum,0
Solanum_angustifolium,0
Solanum_mitlense,0
Solanum_lycocarpum,0
Solanum_sycophanta,0
Solanum_sendtnerianum,0
Solanum_crinitum,0
Solanum_wrightii,0
Solanum_urticans,0
Solanum_coriaceum,0
Solanum_drymophilum,0
Solanum_bahamense,0
Solanum_piluliferum,0
Solanum_asterophorum,0
Solanum_campechiense,0
Solanum_racemosum,0
Solanum_lanceifolium,0
Solanum_jamaicense,0
Solanum_adhaerens,0
Solanum_aturense,0
Solanum_leucopogon,0
Solanum_monachophyllum,0
Solanum_pedemontanum,0
Solanum_arachnidanthum,0
Solanum_tampicense,0
Solanum_euacanthum,0
Solanum_hieronymi,0
Solanum_tridynamum,0
Solanum_hindsianum,0
Solanum_homalospermum,0
Solanum_elaeagnifolium,0
Solanum_mortonii,0
Solanum_barbisetum,0
Solanum_praetermissum,0
Solanum_procumbens,0
Solanum_nienkui,0
Solanum_mahoriense,0
Solanum_croatii,0
Solanum_bumeliifolium,0
Solanum_heinianum,0
Solanum_toliaraea,0
Solanum_pyracanthum,0
Solanum_flagelliferum,0
