species,Numb,arrangment,inflType,perColor,vegHabitLike,APerianthLengthCm,inflLengthCm,numberCincinnalBracts,ovaryLengthMm,totalHtm,bWidthCm,bladeLengthCm
lophocarpa,83-1588B,distichous,erect,white_green,musa,3.55,25.5,15,5.5,3,36,152.5
cucullata,86-1921,spiral,erect,yellow,canna,4.9,11.5,5,7,1,10,40
lentiginosa,89-2648,distichous,pendent,orange_yellow_white,musa,4.8999999999999995,95,20.333333333333332,4.333333333333333,2.1666666666666665,26.833333333333332,152.33333333333334
dasyantha,86-2110,distichous,erect,yellow,musa,4,15,6,3,3,16,90
bella,88-1597,distichous,erect,0,musa,0,36,15,0,1.5,33,75
paludigena,88-2265,spiral_to_distichous,pendent,yellow,musa,5,135,22,8,7.5,50,270
virginalis,89-2945,distichous,erect,white_green,musa,1.1666666666666667,21,5.666666666666667,2,2.6666666666666665,20.5,47
fredberryana,89-2947,distichous,pendent,orange_yellow,musa,3.9,88.33333333333333,14,7.666666666666667,6,32,173.33333333333334
pastazae,96-5731,spiral,pendent,yellow,musa,3.5666666666666664,69,11.5,6,5.416666666666667,31.166666666666668,111.33333333333333
fernandezii,89-2559,0,pendent,yellow,musa,0.6,95,18,10,7,53,250
atratensis,90-3142,distichous,erect,pink_red_green,musa,4.75,38,11,8.5,2.375,34.5,91
holmquistiana,89-2586,distichous,pendent,white,musa,4.8,45,21,8,2.5,24,108
samperiana,89-2589,spiral_to_distichous,pendent,0,0,0,85,0,0,7,0,0
robertoi,89-2613,spiral,pendent,yellow_green,musa,7,30,6,7,2,24,100
intermedia,89-2614,distichous,pendent,orange_yellow_white,musa,5.1,50,10,7,3.5,18,90
badilloi,90-3167,distichous,pendent,orange_yellow_white,musa,2.1,16.5,4.5,3,2.5,12.5,70
brenneri,89-2857,distichous,erect,white_green,musa,7,45,11,1.4,5,42,135
riopalenquensis,89-2904B,spiral,pendent,yellow,canna,4.4,50,19,4.5,4.25,32.5,118.625
lutheri,89-2925,spiral_to_distichous,pendent,pink_red_white,musa,5,75,29,9,4,40,137
huilensis,90-3107,spiral,pendent,yellow,musa,6,80,18.5,7.5,4.5,43.5,272.5
caquetensis,90-3113,spiral,pendent,yellow,musa,7.5,36,7,10,2,28,107
abaloi,90-3125,distichous,pendent,yellow,musa,4.7,40,13,7,4.5,37,80
stella-maris,90-3127,spiral_to_distichous,pendent,white,musa,0.4,35,24,8,2.5,42,130
af.,90-3128,spiral,pendent,0,musa,4.3,40,14,4,3.5,31,135
arrecta,90-3157,spiral_to_distichous,pendent,yellow,musa,5.5,29,11,8,2.125,20,86
titanum,90-3168,distichous,pendent,yellow,musa,5.5,135,30,10,9,72,325
villosa,91-3207,spiral_to_distichous,pendent,0,musa,3.25,28.5,15.5,3,3.75,32,142.5
foreroi,92-3565,distichous,erect,white_green,musa,6.2,50,10,11,3,34,115
estiletioides,93-3588,spiral_to_distichous,pendent,yellow,musa,0,95,17.5,0,3,46,210
